2025-02-06 22:24:54.944 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:24:56.762 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-5-22ms037.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:25:08.983 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X10sZmlsZQ%3D%3D
2025-02-06 22:25:12.205 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W2sZmlsZQ%3D%3D
2025-02-06 22:25:14.224 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:25:15.397 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X10sZmlsZQ%3D%3D
2025-02-06 22:25:20.215 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W2sZmlsZQ%3D%3D
2025-02-06 22:25:21.781 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-06 22:25:26.048 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-06 22:25:29.472 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X10sZmlsZQ%3D%3D
2025-02-06 22:25:33.832 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X11sZmlsZQ%3D%3D
2025-02-06 22:25:37.481 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:25:48.992 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X11sZmlsZQ%3D%3D
2025-02-06 22:25:49.960 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:25:51.143 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X44sZmlsZQ%3D%3D
2025-02-06 22:25:54.293 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X11sZmlsZQ%3D%3D
2025-02-06 22:25:57.146 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-06 22:26:01.070 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X11sZmlsZQ%3D%3D
2025-02-06 22:26:02.217 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:26:05.569 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-06 22:26:10.636 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:26:12.191 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:26:13.919 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-06 22:26:14.473 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
